participant.code,participant.verbal_score,participant.math_score,participant.science_score,participant.sports_score,participant.us_score,participant.pop_score,participant.gender,participant.nationality
rmjbqj0n,18,17,16,9,12,10,Female,non-US National
zgnud950,10,12,12,14,11,14,Male,US National
blcp7qdb,3,7,10,7,8,5,Female,non-US National
58vg99u3,17,4,8,6,5,6,Non-binary,non-US National
